games,event,team,pos,medal,as,athlete_id,noc_x,discipline,nationality_x,roles,sex,full_name,used_name,born,died,noc_y,measurements,affiliations,nickpetnames,titles,other_names,nationality_y,original_name,name_order
1984 Summer Olympics,"Individual, Women (Olympic)",,11.0,,Doris Haas,508,FRG,Archery,,Competed in Olympic Games,Female,Doris•Haas,Doris•Haas,"27 December 1964 in Gengenbach, Baden-Württemberg (GER)",,West Germany,165 cm / 59 kg,"BS Berghaupten, Berghaupten (GER)",,,,,,
1988 Summer Olympics,"Individual, Women (Olympic)",,32.0,,Doris Haas,508,FRG,Archery,,Competed in Olympic Games,Female,Doris•Haas,Doris•Haas,"27 December 1964 in Gengenbach, Baden-Württemberg (GER)",,West Germany,165 cm / 59 kg,"BS Berghaupten, Berghaupten (GER)",,,,,,
1988 Summer Olympics,"Team, Women (Olympic)",West Germany,6.0,,Doris Haas,508,FRG,Archery,,Competed in Olympic Games,Female,Doris•Haas,Doris•Haas,"27 December 1964 in Gengenbach, Baden-Württemberg (GER)",,West Germany,165 cm / 59 kg,"BS Berghaupten, Berghaupten (GER)",,,,,,
1988 Summer Olympics,"Individual, Women (Olympic)",,6.0,,Claudia Kriz,509,FRG,Archery,,Competed in Olympic Games,Female,Claudia•Kriz,Claudia•Kriz,"18 January 1957 in Heppenheim, Hessen (GER)",,West Germany,156 cm / 52 kg,"SSV Laudenbach, Laudenbach (GER)",,,,,,
1988 Summer Olympics,"Team, Women (Olympic)",West Germany,6.0,,Claudia Kriz,509,FRG,Archery,,Competed in Olympic Games,Female,Claudia•Kriz,Claudia•Kriz,"18 January 1957 in Heppenheim, Hessen (GER)",,West Germany,156 cm / 52 kg,"SSV Laudenbach, Laudenbach (GER)",,,,,,
1996 Summer Olympics,"Individual, Women (Olympic)",,8.0,,Barbara Mensing,510,GER,Archery,,Competed in Olympic Games,Female,Barbara•Mensing (-Kegelmann),Barbara•Mensing,"23 September 1960 in Herten, Nordrhein-Westfalen (GER)",,Germany,170 cm / 70 kg,"BC Gelsenkirchen, Gelsenkirchen (GER)",,,,,,
1996 Summer Olympics,"Team, Women (Olympic)",Germany,2.0,Silver,Barbara Mensing,510,GER,Archery,,Competed in Olympic Games,Female,Barbara•Mensing (-Kegelmann),Barbara•Mensing,"23 September 1960 in Herten, Nordrhein-Westfalen (GER)",,Germany,170 cm / 70 kg,"BC Gelsenkirchen, Gelsenkirchen (GER)",,,,,,
2000 Summer Olympics,"Individual, Women (Olympic)",,29.0,,Barbara Mensing,510,GER,Archery,,Competed in Olympic Games,Female,Barbara•Mensing (-Kegelmann),Barbara•Mensing,"23 September 1960 in Herten, Nordrhein-Westfalen (GER)",,Germany,170 cm / 70 kg,"BC Gelsenkirchen, Gelsenkirchen (GER)",,,,,,
2000 Summer Olympics,"Team, Women (Olympic)",Germany,3.0,Bronze,Barbara Mensing,510,GER,Archery,,Competed in Olympic Games,Female,Barbara•Mensing (-Kegelmann),Barbara•Mensing,"23 September 1960 in Herten, Nordrhein-Westfalen (GER)",,Germany,170 cm / 70 kg,"BC Gelsenkirchen, Gelsenkirchen (GER)",,,,,,
1972 Summer Olympics,"Individual, Women (Olympic)",,35.0,,Carla Nolpa,511,FRG,Archery,,Competed in Olympic Games,Female,Carla•Nolpa (Kukla-),Carla•Nolpa,"10 March 1946 in Stod, Plzeňský kraj (CZE)",,West Germany,172 cm / 58 kg,"CdB Marl, Marl (GER)",,,,,,
