games,event,team,pos,medal,as,athlete_id,noc_x,discipline,nationality_x,roles,sex,full_name,used_name,born,died,noc_y,measurements,affiliations,nickpetnames,titles,other_names,nationality_y,original_name,name_order
1988 Summer Olympics,"Individual, Women (Olympic)",,25.0,,Christa Öckl,512,FRG,Archery,,Competed in Olympic Games,Female,Christa•Öckl,Christa•Öckl,"30 September 1943 in Ústí nad Labem, Ústecký kraj (CZE)",,West Germany,168 cm / 66 kg,"BSC Augsburg, Augsburg (GER)",,,,,,
1988 Summer Olympics,"Team, Women (Olympic)",West Germany,6.0,,Christa Öckl,512,FRG,Archery,,Competed in Olympic Games,Female,Christa•Öckl,Christa•Öckl,"30 September 1943 in Ústí nad Labem, Ústecký kraj (CZE)",,West Germany,168 cm / 66 kg,"BSC Augsburg, Augsburg (GER)",,,,,,
1992 Summer Olympics,"Individual, Women (Olympic)",,44.0,,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
1992 Summer Olympics,"Team, Women (Olympic)",Germany,10.0,,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
1996 Summer Olympics,"Individual, Women (Olympic)",,40.0,,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
1996 Summer Olympics,"Team, Women (Olympic)",Germany,2.0,Silver,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
2000 Summer Olympics,"Individual, Women (Olympic)",,24.0,,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
2000 Summer Olympics,"Team, Women (Olympic)",Germany,3.0,Bronze,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
2004 Summer Olympics,"Individual, Women (Olympic)",,22.0,,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
2004 Summer Olympics,"Team, Women (Olympic)",Germany,7.0,,Cornelia Pfohl,513,GER,Archery,,Competed in Olympic Games,Female,Cornelia•Pfohl (-Griem),Cornelia•Pfohl,"23 February 1971 in Erlabrunn, Breitenbrunn, Sachsen (GER)",,Germany,175 cm / 58 kg,"1. Berliner BS, Berlin (GER) / SG Bergmann-Borsig, Berlin (GER)",,,,,,
1976 Summer Olympics,"Individual, Women (Olympic)",,8.0,,Maria Urban,514,FRG,Archery,,Competed in Olympic Games,Female,Maria•Urban,Maria•Urban,"20 December 1941 in Bischofshofen, Salzburg (AUT)",,West Germany,172 cm / 57 kg,"BC Babenhausen, Babenhausen (GER)",,,,,,
1992 Summer Olympics,"Individual, Women (Olympic)",,53.0,,Marion Wagner,515,GER,Archery,,Competed in Olympic Games,Female,Marion•Wagner (-Kuruc),Marion•Wagner,"9 June 1968 in Eslohe (Sauerland), Nordrhein-Westfalen (GER)",,Germany,162 cm / 59 kg,"SK Fellbach-Schmiden, Fellbach (GER)",,,,,,
1992 Summer Olympics,"Team, Women (Olympic)",Germany,10.0,,Marion Wagner,515,GER,Archery,,Competed in Olympic Games,Female,Marion•Wagner (-Kuruc),Marion•Wagner,"9 June 1968 in Eslohe (Sauerland), Nordrhein-Westfalen (GER)",,Germany,162 cm / 59 kg,"SK Fellbach-Schmiden, Fellbach (GER)",,,,,,
1988 Summer Olympics,"Individual, Men (Olympic)",,54.0,,Manfred Barth,516,FRG,Archery,,Competed in Olympic Games,Male,Manfred•Barth,Manfred•Barth,"31 August 1945 in Hamburg, Hamburg (GER)",,West Germany,176 cm / 62 kg,"Hamburger Bogenschützen Gilde, Hamburg (GER)",,,,,,
1988 Summer Olympics,"Team, Men (Olympic)",West Germany,18.0,,Manfred Barth,516,FRG,Archery,,Competed in Olympic Games,Male,Manfred•Barth,Manfred•Barth,"31 August 1945 in Hamburg, Hamburg (GER)",,West Germany,176 cm / 62 kg,"Hamburger Bogenschützen Gilde, Hamburg (GER)",,,,,,
1976 Summer Olympics,"Individual, Men (Olympic)",,6.0,,Willi Gabriel,517,FRG,Archery,,Competed in Olympic Games,Male,Willi•Gabriel,Willi•Gabriel,"24 September 1939 in Owiesno, Dolnośląskie (POL)",,West Germany,165 cm / 63 kg,"TSV Natternberg, Natternberg (GER)",,,,,,
1984 Summer Olympics,"Individual, Men (Olympic)",,10.0,,Armin Garnreiter,518,FRG,Archery,,Competed in Olympic Games,Male,Armin•Garnreiter,Armin•Garnreiter,"24 July 1958 in Burghausen, Bayern (GER)",,West Germany,173 cm / 80 kg,"FSG Tacherting, Tacherting (GER)",,,,,,
1984 Summer Olympics,"Individual, Men (Olympic)",,15.0,,Detlef Kahlert,519,FRG,Archery,,Competed in Olympic Games,Male,Detlef•Kahlert,Detlef•Kahlert,"1 August 1962 in Schwerte, Nordrhein-Westfalen (GER)",,West Germany,184 cm / 92 kg,"SV Holzen, Dortmund (GER)",,,,,,
1988 Summer Olympics,"Individual, Men (Olympic)",,12.0,,Detlef Kahlert,519,FRG,Archery,,Competed in Olympic Games,Male,Detlef•Kahlert,Detlef•Kahlert,"1 August 1962 in Schwerte, Nordrhein-Westfalen (GER)",,West Germany,184 cm / 92 kg,"SV Holzen, Dortmund (GER)",,,,,,
1988 Summer Olympics,"Team, Men (Olympic)",West Germany,18.0,,Detlef Kahlert,519,FRG,Archery,,Competed in Olympic Games,Male,Detlef•Kahlert,Detlef•Kahlert,"1 August 1962 in Schwerte, Nordrhein-Westfalen (GER)",,West Germany,184 cm / 92 kg,"SV Holzen, Dortmund (GER)",,,,,,
1972 Summer Olympics,"Individual, Men (Olympic)",,30.0,,Richard Krust,520,FRG,Archery,,Competed in Olympic Games,Male,Richard•Krust,Richard•Krust,"4 August 1928 in Wurmberg, Baden-Württemberg (GER)",,West Germany,172 cm / 80 kg,"SGi Ludwigsburg, Ludwigsburg (GER)",,,,,,
1992 Summer Olympics,"Individual, Men (Olympic)",,43.0,,Andreas Lippoldt,521,GER,Archery,,Competed in Olympic Games,Male,Andreas•Lippoldt,Andreas•Lippoldt,"3 July 1967 in Sindelfingen, Baden-Württemberg (GER)",,Germany,189 cm / 77 kg,"SGI Sindelfingen, Sindelfingen (GER)",,,,,,
1992 Summer Olympics,"Team, Men (Olympic)",Germany,11.0,,Andreas Lippoldt,521,GER,Archery,,Competed in Olympic Games,Male,Andreas•Lippoldt,Andreas•Lippoldt,"3 July 1967 in Sindelfingen, Baden-Württemberg (GER)",,Germany,189 cm / 77 kg,"SGI Sindelfingen, Sindelfingen (GER)",,,,,,
1992 Summer Olympics,"Individual, Men (Olympic)",,32.0,,Frank Marzoch,522,GER,Archery,,Competed in Olympic Games,Male,Frank•Marzoch,Frank•Marzoch,"22 October 1965 in Herne, Nordrhein-Westfalen (GER)",,Germany,182 cm / 70 kg,"BC Gelsenkirchen, Gelsenkirchen (GER)",,,,,,
1992 Summer Olympics,"Team, Men (Olympic)",Germany,11.0,,Frank Marzoch,522,GER,Archery,,Competed in Olympic Games,Male,Frank•Marzoch,Frank•Marzoch,"22 October 1965 in Herne, Nordrhein-Westfalen (GER)",,Germany,182 cm / 70 kg,"BC Gelsenkirchen, Gelsenkirchen (GER)",,,,,,
1972 Summer Olympics,"Individual, Men (Olympic)",,14.0,,Siegfried Ortmann,523,FRG,Archery,,Competed in Olympic Games,Male,Siegfried•Ortmann,Siegfried•Ortmann,"17 January 1937 in Ruhla, Thüringen (GER)",,West Germany,181 cm / 82 kg,"Kgl. privil. Freihandschützen, Bad Kissingen (GER)",,,,,,
1992 Summer Olympics,"Individual, Men (Olympic)",,38.0,,Marc Rösicke,524,GER,Archery,,Competed in Olympic Games,Male,Marc Ingo•Rösicke,Marc•Rösicke,"13 May 1971 in Soest, Nordrhein-Westfalen (GER)",,Germany,173 cm / 65 kg,"SV Holzen, Dortmund (GER)",,,,,,
1992 Summer Olympics,"Team, Men (Olympic)",Germany,11.0,,Marc Rösicke,524,GER,Archery,,Competed in Olympic Games,Male,Marc Ingo•Rösicke,Marc•Rösicke,"13 May 1971 in Soest, Nordrhein-Westfalen (GER)",,Germany,173 cm / 65 kg,"SV Holzen, Dortmund (GER)",,,,,,
1976 Summer Olympics,"Individual, Men (Olympic)",,27.0,,Rudi Schiffl,525,FRG,Archery,,Competed in Olympic Games,Male,"Rudolf ""Rudi""•Schiffl",Rudi•Schiffl,"18 August 1941 in Dachau, Bayern (GER)","8 March 2013 in Dachau, Bayern (GER)",West Germany,185 cm / 77 kg,"1. Münchner BC, München (GER)",,,,,,
1988 Summer Olympics,"Individual, Men (Olympic)",,59.0,,Bernhard Schulkowski,526,FRG,Archery,,Competed in Olympic Games,Male,Bernhard•Schulkowski,Bernhard•Schulkowski,"9 October 1951 in Hanstedt, Niedersachsen (GER)",,West Germany,195 cm / 105 kg,"BS Uelzen-Gerdau, Uelzen (GER)",,,,,,
1988 Summer Olympics,"Team, Men (Olympic)",West Germany,18.0,,Bernhard Schulkowski,526,FRG,Archery,,Competed in Olympic Games,Male,Bernhard•Schulkowski,Bernhard•Schulkowski,"9 October 1951 in Hanstedt, Niedersachsen (GER)",,West Germany,195 cm / 105 kg,"BS Uelzen-Gerdau, Uelzen (GER)",,,,,,
1996 Summer Olympics,"Individual, Women (Olympic)",,34.0,,Sandra Wagner,527,GER,Archery,,Competed in Olympic Games,Female,Sandra•Wagner-Sachse,Sandra•Wagner-Sachse,"9 September 1969 in Eslohe (Sauerland), Nordrhein-Westfalen (GER)",,Germany,164 cm / 75 kg,"SK Fellbach-Schmiden, Fellbach (GER) / SGi Welzheim, Welzheim (GER)",,,,,,
1996 Summer Olympics,"Team, Women (Olympic)",Germany,2.0,Silver,Sandra Wagner,527,GER,Archery,,Competed in Olympic Games,Female,Sandra•Wagner-Sachse,Sandra•Wagner-Sachse,"9 September 1969 in Eslohe (Sauerland), Nordrhein-Westfalen (GER)",,Germany,164 cm / 75 kg,"SK Fellbach-Schmiden, Fellbach (GER) / SGi Welzheim, Welzheim (GER)",,,,,,
2000 Summer Olympics,"Individual, Women (Olympic)",,54.0,,Sandra Sachse,527,GER,Archery,,Competed in Olympic Games,Female,Sandra•Wagner-Sachse,Sandra•Wagner-Sachse,"9 September 1969 in Eslohe (Sauerland), Nordrhein-Westfalen (GER)",,Germany,164 cm / 75 kg,"SK Fellbach-Schmiden, Fellbach (GER) / SGi Welzheim, Welzheim (GER)",,,,,,
2000 Summer Olympics,"Team, Women (Olympic)",Germany,3.0,Bronze,Sandra Sachse,527,GER,Archery,,Competed in Olympic Games,Female,Sandra•Wagner-Sachse,Sandra•Wagner-Sachse,"9 September 1969 in Eslohe (Sauerland), Nordrhein-Westfalen (GER)",,Germany,164 cm / 75 kg,"SK Fellbach-Schmiden, Fellbach (GER) / SGi Welzheim, Welzheim (GER)",,,,,,
1984 Summer Olympics,"Individual, Men (Olympic)",,9.0,,Harry Wittig,528,FRG,Archery,,Competed in Olympic Games,Male,Harry•Wittig,Harry•Wittig,"19 June 1961 in Böblingen, Baden-Württemberg (GER)",,West Germany,174 cm / 70 kg,"BS Berghaupten, Berghaupten (GER)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,12.0,,Gertrude Appleyard,529,GBR,Archery,,Competed in Olympic Games,Female,Gertrude•Appleyard (Tuppen-),Gertrude•Appleyard,"22 April 1865 in Brighton, England (GBR)","9 June 1917 in Cheltenham, England (GBR)",Great Britain,,"Mid Surrey Archery Club, Surbiton (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,6.0,,Ethel Armitage,530,GBR,Archery,,Competed in Olympic Games,Female,Ethel Isabel•Armitage (MacLaren-),Ethel•Armitage,"21 June 1873 in Salford, England (GBR)","17 October 1957 in Hereford, England (GBR)",Great Britain,,"Hereford Bowmen, Hereford (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,18.0,,Nellie Babington,531,GBR,Archery,,Competed in Olympic Games,Female,"Ellen Mabel Liederskron ""Nellie""•Babington (Horne-)",Nellie•Babington,"12 June 1877 in City of London, England (GBR)","10 September 1956 in Camberley, England (GBR)",Great Britain,,"Edinburgh Ladies, Edinburgh (GBR) / East Sheen, East Sheen (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,10.0,,Adelaide Boddam-Whetham,532,GBR,Archery,,Competed in Olympic Games,Female,Adelaide Harriet Matilda•Boddam-Whetham (Manning-),Adelaide•Boddam-Whetham,"9 December 1860 in Eden, New South Wales (AUS)","20 September 1954 in Folkestone, England (GBR)",Great Britain,,"Folkestone Archery Society, Folkestone (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,19.0,,Dorothy Cadman,533,GBR,Archery,,Competed in Olympic Games,Female,"Dorothy•Cadman (Sharpe-, -Wingate-Saul)",Dorothy•Cadman,"16 July 1880 in Lancaster, England (GBR)","23 December 1971 in York, England (GBR)",Great Britain,,"Lonsdale Archers, Burton in Lonsdale (GBR)",,Lady Wingate-Saul,,,,
1976 Summer Olympics,"Individual, Women (Olympic)",,21.0,,Pat Conway,534,GBR,Archery,,Competed in Olympic Games,Female,"Patricia ""Pat""•Conway",Pat•Conway,"16 January 1944 in Birmingham, England (GBR)",,Great Britain,167 cm / 44 kg,"Walsall Company of Archers, Walsall (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,16.0,,Doris Day,535,GBR,Archery,,Competed in Olympic Games,Female,Doris Elinor•Day (Philips-),Doris•Day,"3 August 1872 in Abbeycwmhir, Wales (GBR)","30 August 1966 in East London, Eastern Cape (RSA)",Great Britain,,"Hereford Bowmen, Hereford (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,2.0,Silver,Lottie Dod,536,GBR,Archery,,Competed in Olympic Games,Female,"Charlotte ""Lottie""•Dod",Lottie•Dod,"24 September 1871 in Bebington, England (GBR)","27 June 1960 in Sway, England (GBR)",Great Britain,,"Welford Park Archers, Welford (GBR)",The Little Wonder,,,,,
1972 Summer Olympics,"Individual, Women (Olympic)",,25.0,,Pauline Edwards,537,GBR,Archery,,Competed in Olympic Games,Female,Pauline Mary•Edwards,Pauline•Edwards,"23 April 1949 in Dartford, England (GBR)",,Great Britain,162 cm / 56 kg,Atkins Archers / Royal Toxophilite Society,,,,,,
1988 Summer Olympics,"Individual, Women (Olympic)",,17.0,,Pauline Edwards,537,GBR,Archery,,Competed in Olympic Games,Female,Pauline Mary•Edwards,Pauline•Edwards,"23 April 1949 in Dartford, England (GBR)",,Great Britain,162 cm / 56 kg,Atkins Archers / Royal Toxophilite Society,,,,,,
1988 Summer Olympics,"Team, Women (Olympic)",Great Britain,5.0,,Pauline Edwards,537,GBR,Archery,,Competed in Olympic Games,Female,Pauline Mary•Edwards,Pauline•Edwards,"23 April 1949 in Dartford, England (GBR)",,Great Britain,162 cm / 56 kg,Atkins Archers / Royal Toxophilite Society,,,,,,
1972 Summer Olympics,"Individual, Women (Olympic)",,16.0,,Lynne Evans,538,GBR,Archery,,Competed in Olympic Games,Female,Lynne Avril•Evans (Thomas-),Lynne•Evans,"5 August 1948 in Pontypridd, Wales (GBR)",,Great Britain,173 cm,,,,,,,
1976 Summer Olympics,"Individual, Women (Olympic)",,23.0,,Rachel Fenwick,539,GBR,Archery,,Competed in Olympic Games,Female,Rachel Dorothy Mary•Fenwick (Atwell-),Rachel•Fenwick,25 October 1935,,Great Britain,165 cm / 49 kg,,,,,,,
1988 Summer Olympics,"Individual, Women (Olympic)",,7.0,,Joanne Franks,540,GBR,Archery,,Competed in Olympic Games,Female,Joanne Marie•Franks-Edens,Joanne•Franks-Edens,"1 October 1967 in King's Lynn, England (GBR)",,Great Britain,172 cm / 60 kg,Euston Park Bowmen / Leamington Spa Archery Society,,,,,,
1988 Summer Olympics,"Team, Women (Olympic)",Great Britain,5.0,,Joanne Franks,540,GBR,Archery,,Competed in Olympic Games,Female,Joanne Marie•Franks-Edens,Joanne•Franks-Edens,"1 October 1967 in King's Lynn, England (GBR)",,Great Britain,172 cm / 60 kg,Euston Park Bowmen / Leamington Spa Archery Society,,,,,,
1992 Summer Olympics,"Individual, Women (Olympic)",,36.0,,Joanne Edens,540,GBR,Archery,,Competed in Olympic Games,Female,Joanne Marie•Franks-Edens,Joanne•Franks-Edens,"1 October 1967 in King's Lynn, England (GBR)",,Great Britain,172 cm / 60 kg,Euston Park Bowmen / Leamington Spa Archery Society,,,,,,
1992 Summer Olympics,"Team, Women (Olympic)",Great Britain,13.0,,Joanne Edens,540,GBR,Archery,,Competed in Olympic Games,Female,Joanne Marie•Franks-Edens,Joanne•Franks-Edens,"1 October 1967 in King's Lynn, England (GBR)",,Great Britain,172 cm / 60 kg,Euston Park Bowmen / Leamington Spa Archery Society,,,,,,
1984 Summer Olympics,"Individual, Women (Olympic)",,30.0,,Angela Goodall,541,GBR,Archery,,Competed in Olympic Games,Female,Angela•Goodall (-Oakley),Angela•Goodall,"29 August 1961 in Glasgow, Scotland (GBR)",,Great Britain,167 cm / 62 kg,Bangor & District Archery Club,,,,,,
1980 Summer Olympics,"Individual, Women (Olympic)",,25.0,,Christine Harris,542,GBR,Archery,,Competed in Olympic Games,Female,Christine•Harris,Christine•Harris,14 January 1956,,Great Britain,168 cm / 63 kg,,,,,,,
1992 Summer Olympics,"Individual, Women (Olympic)",,46.0,,Sylvia Harris,543,GBR,Archery,,Competed in Olympic Games,Female,Sylvia•Harris,Sylvia•Harris,"17 March 1965 in Chorley, England (GBR)",,Great Britain,175 cm / 66 kg,Dunlop and Angier,,,,,,
1992 Summer Olympics,"Team, Women (Olympic)",Great Britain,13.0,,Sylvia Harris,543,GBR,Archery,,Competed in Olympic Games,Female,Sylvia•Harris,Sylvia•Harris,"17 March 1965 in Chorley, England (GBR)",,Great Britain,175 cm / 66 kg,Dunlop and Angier,,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,3.0,Bronze,Beatrice Hill-Lowe,544,GBR,Archery,,Competed in Olympic Games,Female,"Beatrice Geraldine•Hill-Lowe (Ruxton-, -Thompson)",Beatrice•Hill-Lowe,"26 January 1868 in Ardee, Louth (IRL)","2 July 1951 in Tenby, Wales (GBR)",Great Britain,,"Archers of the Teme, Ludlow (GBR)",,,,Ireland,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,5.0,,Dora Honnywill,545,GBR,Archery,,Competed in Olympic Games,Female,Dora•Honnywill (Neve-),Dora•Honnywill,"17 December 1870 in Benenden, England (GBR)","18 March 1959 in Maidstone, England (GBR)",Great Britain,,"Archers of the Weald, (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,20.0,,Martina Hyde,546,GBR,Archery,,Competed in Olympic Games,Female,Martina•Hyde,Martina•Hyde,"25 December 1866 in St. Nicolas, Worcester, England (GBR)","17 May 1937 in Worcester, England (GBR)",Great Britain,,"Worcestershire Archery Society, (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,21.0,,Sarah Leonard,547,GBR,Archery,,Competed in Olympic Games,Female,Sarah Henrietta•Leonard (Leonard-),Sarah•Leonard,"21 March 1862 in Boxmoor, Hemel Hempstead, England (GBR)","5 June 1951 in Flax Bourton, England (GBR)",Great Britain,,"Backwell and District Archery Club, Backwell (GBR)",Hettie,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,17.0,,Katherine Mudge,548,GBR,Archery,,Competed in Olympic Games,Female,Katherine Gwen•Mudge (-Cardale),Katherine•Mudge,"16 August 1881 in Llanbedr, Wales (GBR)","26 July 1975 in Stratton, England (GBR)",Great Britain,,"Devon and Cornwall AS, (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,1.0,Gold,Sybil Newall,549,GBR,Archery,,Competed in Olympic Games,Female,Sybil Fenton•Newall,Sybil•Newall,"17 October 1854 in Calderbrook, England (GBR)","24 June 1929 in Cheltenham, England (GBR)",Great Britain,,"Cheltenham Archers, Cheltenham (GBR)",Queenie,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,11.0,,Louisa Nott Bower,550,GBR,Archery,,Competed in Olympic Games,Female,Louisa Adelaide•Nott Bower (Yorke-),Louisa•Nott Bower,"27 March 1861 in Troedyraur, Wales (GBR)","6 September 1925 in Richmond, England (GBR)",Great Britain,,"Royal Richmond Archery Club, London (GBR)",,,,,,
1980 Summer Olympics,"Individual, Women (Olympic)",,22.0,,Gillian Patterson,551,GBR,Archery,,Competed in Olympic Games,Female,Gillian•Patterson,Gillian•Patterson,26 September 1963,,Great Britain,165 cm / 59 kg,"Cleadon Archers, Seaham (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,13.0,,Lillias Robertson,552,GBR,Archery,,Competed in Olympic Games,Female,Lillias Anne Marshall•Robertson (Mason-),Lillias•Robertson,"20 July 1882 in Richmond, England (GBR)","13 March 1976 in Exeter, England (GBR)",Great Britain,,"Mid Surrey Archery Club, Surbiton (GBR)",,,,,,
1984 Summer Olympics,"Individual, Women (Olympic)",,29.0,,Eileen Robinson,553,GBR,Archery,,Competed in Olympic Games,Female,Eileen•Robinson,Eileen•Robinson,"6 March 1951 in Manchester, England (GBR)",,Great Britain,170 cm / 64 kg,Greater Manchester Police,,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,24.0,,Emily Rushton,554,GBR,Archery,,Competed in Olympic Games,Female,Emily Jane•Rushton (Ormrod-),Emily•Rushton,"1850 in Halliwell, England (GBR)","30 June 1939 in Barnacre-with-Bonds, Garstang, England (GBR)",Great Britain,,"Barnacre Archers, Barnacre-with-Bonds, Garstang (GBR)",,,,,,
1988 Summer Olympics,"Individual, Women (Olympic)",,51.0,,Cheryl Sutton,555,GBR,Archery,,Competed in Olympic Games,Female,Cheryl A.•Sutton (Fowler-),Cheryl•Sutton,"23 September 1946 in Norwich, England (GBR)",,Great Britain,160 cm / 72 kg,Norfolk Bowmen,,,,,,
1988 Summer Olympics,"Team, Women (Olympic)",Great Britain,5.0,,Cheryl Sutton,555,GBR,Archery,,Competed in Olympic Games,Female,Cheryl A.•Sutton (Fowler-),Cheryl•Sutton,"23 September 1946 in Norwich, England (GBR)",,Great Britain,160 cm / 72 kg,Norfolk Bowmen,,,,,,
1972 Summer Olympics,"Individual, Women (Olympic)",,21.0,,Carol Sykes,556,GBR,Archery,,Competed in Olympic Games,Female,Carol•Sykes (-Crich),Carol•Sykes,11 December 1941,,Great Britain,165 cm,,,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,15.0,,Albertine Thackwell,557,GBR,Archery,,Competed in Olympic Games,Female,Albertine Anne•Thackwell,Albertine•Thackwell,"19 June 1863 in Alcester, England (GBR)","22 September 1944 in Little Comberton, England (GBR)",Great Britain,,"Worcestershire Archery Society, (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,23.0,,Janetta Vance,558,GBR,Archery,,Competed in Olympic Games,Female,Janetta•Vance,Janetta•Vance,"16 February 1855 in Dublin, Dublin (IRL)","15 November 1921 in Hove, England (GBR)",Great Britain,,"Hove Toxophilite Society, Hove (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,4.0,,Jessie Wadworth,559,GBR,Archery,,Competed in Olympic Games,Female,Jessie Ellen•Wadworth (Brown-),Jessie•Wadworth,"12 November 1863 in Devizes, England (GBR)","8 July 1936 in Hereford, England (GBR)",Great Britain,,"Hereford Bowmen, Hereford (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,9.0,,Brenda Wadworth,560,GBR,Archery,,Competed in Olympic Games,Female,"Brenda•Wadworth (-Lea, -Baily)",Brenda•Wadworth,"26 November 1885 in Devizes, England (GBR)","28 January 1962 in Hereford, England (GBR)",Great Britain,,"Hereford Bowmen, Hereford (GBR)",,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,14.0,,Margaret Weedon,561,GBR,Archery,,Competed in Olympic Games,Female,"Margaret Kate•Weedon (Macrae-, -Mercer)",Margaret•Weedon,"31 October 1853 in Lewes, England (GBR)","19 October 1930 in Worcester, England (GBR)",Great Britain,,"West Kent Archery Society, Bickley (GBR)",,,,,,
1984 Summer Olympics,"Individual, Women (Olympic)",,31.0,,Sue Willcox,562,GBR,Archery,,Competed in Olympic Games,Female,"Susan ""Sue""•Willcox",Sue•Willcox,"6 April 1954 in Bristol, England (GBR)",,Great Britain,172 cm / 64 kg,Laleham Archery Club,,,,,,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,25.0,,Hilda Williams,563,GBR,Archery,,Competed in Olympic Games,Female,Hilda•Williams,Hilda•Williams,"1876 in Marton, England (GBR)","10 July 1922 in Surbiton, England (GBR)",Great Britain,,"Mid Surrey Archery Club, Surbiton (GBR)",,,,,,
1992 Summer Olympics,"Individual, Women (Olympic)",,8,,Alison Williamson,564,GBR,Archery,,Competed in Olympic Games,Female,Alison Jane•Williamson (-Conaghan),Alison•Williamson,"3 November 1971 in Melton Mowbray, England (GBR)",,Great Britain,170 cm / 73 kg,"Long Mynd Archers, Church Stretton (GBR)",,,,,,
1992 Summer Olympics,"Team, Women (Olympic)",Great Britain,13,,Alison Williamson,564,GBR,Archery,,Competed in Olympic Games,Female,Alison Jane•Williamson (-Conaghan),Alison•Williamson,"3 November 1971 in Melton Mowbray, England (GBR)",,Great Britain,170 cm / 73 kg,"Long Mynd Archers, Church Stretton (GBR)",,,,,,
1996 Summer Olympics,"Individual, Women (Olympic)",,10,,Alison Williamson,564,GBR,Archery,,Competed in Olympic Games,Female,Alison Jane•Williamson (-Conaghan),Alison•Williamson,"3 November 1971 in Melton Mowbray, England (GBR)",,Great Britain,170 cm / 73 kg,"Long Mynd Archers, Church Stretton (GBR)",,,,,,
2000 Summer Olympics,"Individual, Women (Olympic)",,9,,Alison Williamson,564,GBR,Archery,,Competed in Olympic Games,Female,Alison Jane•Williamson (-Conaghan),Alison•Williamson,"3 November 1971 in Melton Mowbray, England (GBR)",,Great Britain,170 cm / 73 kg,"Long Mynd Archers, Church Stretton (GBR)",,,,,,
