Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Chen•Zihe,Chen•Zihe,"29 February 1968 in Minqing, Fujian (CHN)",,People's Republic of China,779,166 cm / 58 kg,,,,,,陳•子荷,Oriental
Competed in Olympic Games,Female,Chen•Li,Chen•Li,"13 March 1971 in Xiangtan, Hunan (CHN)",,People's Republic of China,780,165 cm / 60 kg,"Hunan Provincial Tennis Team, (CHN)",,,Chen Li-Ling,,陳•莉,Oriental
Competed in Olympic Games,Female,Deng•Yaping,Deng•Yaping,"6 February 1973 in Zhengzhou, Henan (CHN)",,People's Republic of China,781,150 cm / 53 kg,,,,,,鄧•亞萍,Oriental
Competed in Olympic Games,Female,Ge•Fei,Ge•Fei,"9 October 1975 in Nantong, Jiangsu (CHN)",,People's Republic of China,782,171 cm / 58 kg,,,,,,葛•菲,Oriental
Competed in Olympic Games,Female,Jun•Gao (-Chang),Jun•Gao,"25 January 1969 in Baoding, Hebei (CHN)",,People's Republic of China United States,783,168 cm / 73 kg,Potimac Table Tennis Club,,,高軍,,,
Competed in Olympic Games,Female,Gu•Jun,Gu•Jun,"3 January 1975 in Wuxi, Jiangsu (CHN)",,People's Republic of China,784,165 cm / 62 kg,,,,,,顧•俊,Oriental
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Female,Guan•Weizhen,Guan•Weizhen,"15 June 1964 in Guangzhou (Canton), Guangdong (CHN)",,People's Republic of China,785,172 cm / 70 kg,,,,,,關•渭貞,Oriental
Competed in Olympic Games,Female,Huang•Hua,Huang•Hua,"16 November 1969 in Hechi, Guangxi (CHN)",,People's Republic of China,786,171 cm / 61 kg,,,,,,黃•華,Oriental
Competed in Olympic Games,Male,Ibrahim•Al-Idokht,Ibrahim•Al-Idokht,26 October 1967,,Islamic Republic of Iran,787,,,,,,,,
Competed in Olympic Games,Female,Rosetta Phoebe•Blair-White (Newell-),Phoebe•Blair-White,"10 September 1894 in Dún Laoghaire, Dublin (IRL)","6 March 1991 in Strabane, Northern Ireland (GBR)",Ireland,788,,"Carrickmines Croquet & Lawn Tennis Club, Dublin (IRL)",Binky,,,,,
Competed in Olympic Games,Female,Mabel Hilda•Wallis,Hilda•Wallis,"12 November 1900 in Dublin, Dublin (IRL)","8 December 1979 in Bray, Wicklow (IRL)",Ireland,789,,,,,,,,
Competed in Olympic Games,Male,Scott•Barron,Scott•Barron,"27 August 1974 in Dublin, Dublin (IRL)",,Ireland,790,180 cm / 73 kg,,,,,,,
Competed in Olympic Games,Male,Owen•Casey,Owen•Casey,"22 October 1969 in Dublin, Dublin (IRL)",,Ireland,791,177 cm / 75 kg,,,,,,,
Competed in Olympic Games,Male,Eoin•Collins,Eoin•Collins,"28 July 1968 in Dublin, Dublin (IRL)",,Ireland,792,193 cm / 86 kg,,,,,,,
Competed in Olympic Games,Male,Walter Godfrey•Ireland,Walter•Ireland,"25 April 1882 in Rathmines, Dublin (IRL)","2 November 1932 in Liverpool, England (GBR)",Ireland,793,,,Bunny,,,,,
Competed in Olympic Games,Male,Edward D'Arcy•McCrea,D'Arcy•McCrea,"7 February 1896 in Dublin, Dublin (IRL)","22 December 1940 in Salford, England (GBR)",Ireland,794,,,,,,,,
Competed in Olympic Games • Other,Male,Abdul Wahab•Ali,Abdul Wahab•Ali,7 July 1958,,Iraq,795,175 cm / 80 kg,,,,,,عبد الوهاب•علي,
Competed in Olympic Games,Female,Elsa•Nielsen,Elsa•Nielsen,26 June 1974,,Iceland,796,,,,,,,,
Competed in Olympic Games,Male,Árni Þór•Hallgrímson,Árni Þór•Hallgrímson,10 March 1968,,Iceland,797,192 cm / 97 kg,,,,,,,
Competed in Olympic Games,Male,Broddi•Kristjánsson,Broddi•Kristjánsson,8 December 1960,,Iceland,798,184 cm / 79 kg,,,,,,,
Competed in Olympic Games,Female,Ilana•Berger,Ilana•Berger,"31 December 1965 in Ciudad de México (Mexico City), Ciudad de México (MEX)",,Israel,799,169 cm / 63 kg,,,,,,אילנה•ברגר,
Competed in Olympic Games,Male,Gilad•Bloom,Gilad•Bloom,"1 March 1967 in Tel Aviv, Tel Aviv (ISR)",,Israel,800,171 cm / 68 kg,,,,,,גלעד•בלום,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Amos•Mansdorf,Amos•Mansdorf,"20 October 1965 in Tel Aviv, Tel Aviv (ISR)",,Israel,801,175 cm / 72 kg,,,,,,עמוס•מנסדורף,
Competed in Olympic Games,Male,Shahar•Perkiss,Shahar•Perkiss,"14 October 1962 in Heifa (Haifa), Heifa (ISR)",,Israel,802,193 cm / 70 kg,,,,,,שחר•פרקיס,
Competed in Olympic Games,Female,Flyura•Bulatova-Abbate,Flyura•Bulatova-Abbate,"7 September 1963 in Oqtosh, Toshkent Viloyati (UZB)",,Italy Soviet Union,803,166 cm / 64 kg,Polisportiva Castell. Castelgoffredo (MN),,,Флюра Булатова-Аббате,Uzbekistan,,
Competed in Olympic Games,Female,Alessia•Arisi,Alessia•Arisi,"10 December 1971 in Parma, Parma (ITA)",,Italy,804,165 cm / 60 kg,"Union Sportive Bicentre, Paris",,,,,,
Competed in Olympic Games,Female,Paola Maria Andreina•Bologna (-Malfatti di Monte Tretto),Paola•Bologna,"20 August 1898 in Torino, Torino (ITA)","13 January 1960 in Torino, Torino (ITA)",Italy,805,,"Circolo del Tennis Torino, Torino (ITA)",,Baronessa (Baroness),,,,
